,ModelName,trainAccuracy,trainLoss,validationAccuracy,validationLoss,timeInSecTrain,nEpochs,batchSize
0,modelo1,0.5720999836921692,0.6762225031852722,0.6075999736785889,0.6533706784248352,2173.242378473282,15,64
1,modelo1,0.609749972820282,0.6561037302017212,0.6245999932289124,0.65355384349823,2173.242378473282,15,64
2,modelo1,0.6215999722480774,0.6436150670051575,0.6011999845504761,0.6506146192550659,2173.242378473282,15,64
3,modelo1,0.6381499767303467,0.6364434957504272,0.6439999938011169,0.6267786622047424,2173.242378473282,15,64
4,modelo1,0.6420000195503235,0.6277217864990234,0.6000000238418579,0.6525474190711975,2173.242378473282,15,64
5,modelo1,0.6504999995231628,0.6234585642814636,0.6773999929428101,0.6045438647270203,2173.242378473282,15,64
6,modelo1,0.6624000072479248,0.6147117614746094,0.6570000052452087,0.6155814528465271,2173.242378473282,15,64
7,modelo1,0.6572999954223633,0.6141883730888367,0.6574000120162964,0.6145035624504089,2173.242378473282,15,64
8,modelo1,0.6718000173568726,0.6064318418502808,0.675000011920929,0.5927503705024719,2173.242378473282,15,64
9,modelo1,0.6651999950408936,0.6053244471549988,0.6592000126838684,0.6085911393165588,2173.242378473282,15,64
10,modelo1,0.6686000227928162,0.604013204574585,0.6579999923706055,0.6000211238861084,2173.242378473282,15,64
11,modelo1,0.6702499985694885,0.603432834148407,0.6866000294685364,0.5829976201057434,2173.242378473282,15,64
12,modelo1,0.6759499907493591,0.5987215042114258,0.6600000262260437,0.6054471731185913,2173.242378473282,15,64
13,modelo1,0.6769499778747559,0.5980936288833618,0.6610000133514404,0.6035033464431763,2173.242378473282,15,64
14,modelo1,0.6779499649991989,0.5974657535552979,0.6610000133514404,0.6035033464431763,2173.242378473282,15,64
0,modelo3,0.5751000046730042,0.757099449634552,0.6233999729156494,0.6548596620559692,3047.7769367694855,15,64
1,modelo3,0.609749972820282,0.6561037302017212,0.6245999932289124,0.65355384349823,3047.7769367694855,15,64
2,modelo3,0.6215999722480774,0.6436150670051575,0.6011999845504761,0.6506146192550659,3047.7769367694855,15,64
3,modelo3,0.6381499767303467,0.6364434957504272,0.6439999938011169,0.6267786622047424,3047.7769367694855,15,64
4,modelo3,0.6420000195503235,0.6277217864990234,0.6000000238418579,0.6525474190711975,3047.7769367694855,15,64
5,modelo3,0.6504999995231628,0.6234585642814636,0.6773999929428101,0.6045438647270203,3047.7769367694855,15,64
6,modelo3,0.6624000072479248,0.6147117614746094,0.6570000052452087,0.6155814528465271,3047.7769367694855,15,64
7,modelo3,0.6572999954223633,0.6141883730888367,0.6574000120162964,0.6145035624504089,3047.7769367694855,15,64
8,modelo3,0.6718000173568726,0.6064318418502808,0.675000011920929,0.5927503705024719,3047.7769367694855,15,64
9,modelo3,0.6651999950408936,0.6053244471549988,0.6592000126838684,0.6085911393165588,3047.7769367694855,15,64
10,modelo3,0.6686000227928162,0.604013204574585,0.6579999923706055,0.6000211238861084,3047.7769367694855,15,64
11,modelo3,0.6702499985694885,0.603432834148407,0.6866000294685364,0.5829976201057434,3047.7769367694855,15,64
12,modelo3,0.6759499907493591,0.5987215042114258,0.6600000262260437,0.6054471731185913,3047.7769367694855,15,64
13,modelo3,0.6726999878883362,0.6017714142799377,0.6905999779701233,0.5766613483428955,3047.7769367694855,15,64
14,modelo3,0.6784499883651733,0.5967692732810974,0.6448000073432922,0.6119897961616516,3047.7769367694855,15,64
0,modelo4,0.5999000072479248,0.7940366268157959,0.5148000121116638,0.7444552779197693,355,15,64
1,modelo4,0.6630499958992004,0.6160087585449219,0.5490000247955322,0.9123273491859436,355,15,64
2,modelo4,0.6866499781608582,0.5880970358848572,0.6218000054359436,0.7637847065925598,355,15,64
3,modelo4,0.7027999758720398,0.5707189440727234,0.5911999940872192,0.7385504245758057,379,15,64
4,modelo4,0.7207499742507935,0.5476099848747253,0.7351999878883362,0.5360710024833679,368,15,64
5,modelo4,0.7342000007629395,0.5303678512573242,0.7192000150680542,0.5618395209312439,362,15,64
6,modelo4,0.744949996471405,0.5130130648612976,0.6155999898910522,1.2935118675231934,366,15,64
7,modelo4,0.7546499967575073,0.496844619512558,0.7184000015258789,0.6116824746131897,380,15,64
8,modelo4,0.7685999870300293,0.47859838604927063,0.732200026512146,0.5354169607162476,380,15,64
9,modelo4,0.781499981880188,0.4637996554374695,0.7552000284194946,0.5236756801605225,374,15,64
10,modelo4,0.7843499779701233,0.45068055391311646,0.7919999957084656,0.44675350189208984,366,15,64
11,modelo4,0.7968000173568726,0.43534615635871887,0.725600004196167,0.6451332569122314,350,15,64
12,modelo4,0.8021000027656555,0.42275893688201904,0.7824000120162964,0.4894552230834961,360,15,64
13,modelo4,0.8096500039100647,0.41127437353134155,0.7681999802589417,0.5229847431182861,365,15,64
14,modelo4,0.8141499757766724,0.4046761393547058,0.8187999725341797,0.41376835107803345,357,15,64
0,modelo5VGG16,0.6357845067977905,5.748241901397705,0.6929086446762085,2.8949570655822754,7790.3227570056915,15,64
1,modelo5VGG16,0.6823334693908691,4.099265098571777,0.6033653616905212,7.257653713226318,7790.3227570056915,15,64
2,modelo5VGG16,0.689757227897644,4.352774620056152,0.6133813858032227,6.369726657867432,7790.3227570056915,15,64
3,modelo5VGG16,0.6987359523773193,4.3872456550598145,0.6760817170143127,5.127101898193359,7790.3227570056915,15,64
4,modelo5VGG16,0.7036015391349792,4.461736679077148,0.7273637652397156,3.3808772563934326,7790.3227570056915,15,64
5,modelo5VGG16,0.7094201445579529,4.168400764465332,0.6989182829856873,4.469627380371094,7790.3227570056915,15,64
6,modelo5VGG16,0.7103732228279114,4.477107048034668,0.5987580418586731,8.770116806030273,7790.3227570056915,15,64
7,modelo5VGG16,0.718549370765686,4.412790775299072,0.6981169581413269,5.310412883758545,7790.3227570056915,15,64
8,modelo5VGG16,0.721408486366272,4.595066547393799,0.7403846383094788,3.348189115524292,7790.3227570056915,15,64
9,modelo5VGG16,0.7141854166984558,5.113735675811768,0.7215544581413269,5.0344014167785645,7790.3227570056915,15,64
10,modelo5VGG16,0.7309891581535339,4.3186936378479,0.7195512652397156,3.998063802719116,7790.3227570056915,15,64
11,modelo5VGG16,0.7209570407867432,4.538568496704102,0.71875,4.344156742095947,7790.3227570056915,15,64
12,modelo5VGG16,0.723565399646759,4.5612101554870605,0.7596153616905212,3.2362866401672363,7790.3227570056915,15,64
13,modelo5VGG16,0.7270766496658325,4.561796188354492,0.7536057829856873,3.2939159870147705,7790.3227570056915,15,64
14,modelo5VGG16,0.7370585799217224,3.966834545135498,0.676682710647583,6.101058483123779,7790.3227570056915,15,64
0,modelResNet50,0.6025390625,0.9644178152084351,0.51953125,0.7023470997810364,2685.0402796268463,15,64
1,modelResNet50,0.658203125,0.8778060674667358,0.51171875,0.8532202243804932,2685.0402796268463,15,64
2,modelResNet50,0.6806640625,0.830885112285614,0.5068359375,0.8237239122390747,2685.0402796268463,15,64
3,modelResNet50,0.71240234375,0.791198194026947,0.4814453125,1.035494089126587,2685.0402796268463,15,64
4,modelResNet50,0.70263671875,0.7627356052398682,0.5029296875,0.7702339291572571,2685.0402796268463,15,64
5,modelResNet50,0.72021484375,0.6875678300857544,0.53125,0.7434750199317932,2685.0402796268463,15,64
6,modelResNet50,0.73291015625,0.5861510634422302,0.5439453125,0.8012478947639465,2685.0402796268463,15,64
7,modelResNet50,0.76806640625,0.5250870585441589,0.59375,0.6767354607582092,2685.0402796268463,15,64
8,modelResNet50,0.75146484375,0.6199260950088501,0.5908203125,1.4879928827285767,2685.0402796268463,15,64
9,modelResNet50,0.7509765625,0.7517179250717163,0.5478515625,1.0399410724639893,2685.0402796268463,15,64
10,modelResNet50,0.74462890625,0.5807734727859497,0.5595703125,2.530639886856079,2685.0402796268463,15,64
11,modelResNet50,0.74169921875,0.6386114358901978,0.7080078125,0.6528926491737366,2685.0402796268463,15,64
