generation,population size,mutation rate,generations,fitness,best path
113,1000,0.2,150,4310,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 2, 3, 2, 3, 2, 0, 2, 2, 1, 1, 2, 1, 0, 1, 2, 2, 0, 0, 0, 2, 3, 1, 1, 2, 0, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 0, 2, 1, 0, 0, 3, 3, 1, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
114,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 3, 1, 1, 2, 0, 2, 2, 0, 1, 2, 2, 3, 2, 2, 0, 2, 2, 2, 0, 0, 3, 3, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
115,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 2, 0, 2, 2, 0, 2, 0, 2, 3, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
116,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 2, 0, 2, 2, 0, 2, 0, 2, 3, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
117,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 2, 0, 2, 2, 0, 2, 0, 2, 3, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 3, 2, 3, 0, 0, 2, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
118,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 3, 1, 2, 2, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
119,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 3, 1, 2, 2, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
120,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 2, 1, 2, 3, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
121,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 0, 2, 2, 0, 3, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 1, 2, 3, 2, 2, 3, 2, 2, 3, 0, 0, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
123,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 3, 1, 3, 0, 0, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 0, 3, 0, 2, 2, 1, 2, 3, 2, 2, 2, 0, 0, 1, 1, 3, 2, 2, 0, 2, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2]"
