starting fitness,population size,generations,mutation rate,new fitness
5190,150,100,0.2,7270
5190,150,100,0.2,7270
5190,150,100,0.2,7250
5190,150,100,0.2,7250
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7230
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7210
5190,150,100,0.2,7190
5190,150,100,0.2,7190
5190,150,100,0.2,7190
5270,150,100,0.2,6330
5270,150,100,0.2,6310
5270,150,100,0.2,6310
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6290
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5270,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5190,150,100,0.2,6270
5210,150,100,0.15,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5190,150,100,0.2,6250
5210,150,100,0.15,6230
5210,150,100,0.15,6230
5210,150,100,0.15,6230
5210,150,100,0.15,6230
5210,150,100,0.2,6230
5210,150,100,0.2,6230
5210,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5190,150,100,0.2,6230
5210,150,100,0.15,6210
5210,150,100,0.15,6210
5210,150,100,0.15,6210
5210,150,100,0.2,6210
5210,150,100,0.2,6210
5210,150,100,0.2,6210
5210,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6210
5190,150,100,0.2,6190
4340,150,100,0.2,5370
4340,150,100,0.2,5370
4340,150,100,0.2,5370
4340,150,100,0.2,5370
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
4340,150,100,0.2,5350
5210,150,100,0.15,5310
5210,150,100,0.2,5310
5210,150,100,0.15,5300
5210,150,100,0.15,5290
5210,150,100,0.15,5290
5210,150,100,0.15,5290
5210,150,100,0.15,5290
5210,150,100,0.2,5290
5210,150,100,0.2,5290
5210,150,100,0.2,5280
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.15,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.2,5270
5210,150,100,0.15,5260
5210,150,100,0.2,5260
5210,150,100,0.15,5250
5210,150,100,0.15,5250
5210,150,100,0.15,5250
5210,150,100,0.15,5250
5210,150,100,0.15,5250
5210,150,100,0.15,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5250
5210,150,100,0.2,5230
5210,150,100,0.2,5230
5210,150,100,0.2,5230
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4350,150,100,0.2,4390
4340,150,100,0.2,4380
4340,150,100,0.2,4380
